City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chokurdakh,70.6333,147.9167,0.73,87.0,100.0,5.88,RU,1631121014.0
hilo,19.7297,-155.09,24.23,75.0,90.0,3.09,US,1631120995.0
willmar,45.1219,-95.0433,22.01,49.0,1.0,6.69,US,1631120996.0
attawapiskat,69.4541,-133.0374,8.36,72.0,51.0,4.48,CA,1631121014.0
umzimvubu,20.6,-99.1333,20.78,49.0,93.0,1.76,MX,1631121015.0
tuktoyaktuk,-33.65,115.3333,11.72,95.0,100.0,3.49,AU,1631121015.0
cardonal,5.4112,100.3354,24.96,91.0,20.0,1.03,MY,1631121015.0
busselton,-8.9266,125.4092,14.01,89.0,67.0,1.88,TL,1631121016.0
georgetown,-10.1667,123.5833,25.07,75.0,83.0,6.16,ID,1631121016.0
airai,-53.15,-70.9167,12.06,62.0,75.0,8.75,CL,1631121016.0
kupang,53.5001,-112.0518,21.29,34.0,10.0,6.06,CA,1631121016.0
punta arenas,-20.4081,57.7,21.25,67.0,28.0,5.61,MU,1631121017.0
vegreville,-33.0117,17.9442,13.4,80.0,42.0,7.83,ZA,1631121017.0
mahebourg,55.8014,54.5372,9.47,92.0,95.0,4.1,RU,1631121017.0
saldanha,65.5833,-171.0,3.32,88.0,100.0,2.53,RU,1631121018.0
kuyanovo,-21.4803,-56.1381,31.64,37.0,96.0,6.09,BR,1631121018.0
lavrentiya,71.2906,-156.7887,7.01,81.0,1.0,5.66,US,1631121018.0
illoqqortoormiut,-34.4833,-54.3333,13.72,97.0,100.0,8.83,UY,1631120787.0
jardim,-33.9258,18.4232,13.39,80.0,41.0,1.34,ZA,1631120746.0
huazolotitlan,-3.8004,102.2655,23.56,89.0,73.0,1.45,ID,1631121019.0
ngukurr,18.7369,7.3853,38.58,17.0,43.0,2.68,NE,1631121019.0
barrow,-21.3393,55.4781,20.8,68.0,0.0,2.57,RE,1631121020.0
rocha,-12.0667,134.2667,21.64,81.0,54.0,5.28,AU,1631121020.0
cape town,-31.5889,28.7844,13.2,68.0,0.0,0.85,ZA,1631121021.0
bengkulu,5.75,38.9167,16.31,88.0,94.0,0.39,ET,1631121021.0
arlit,-46.6,168.3333,7.67,89.0,100.0,12.44,NZ,1631121021.0
dianopolis,-33.0153,27.9116,18.14,54.0,3.0,1.46,ZA,1631121022.0
saint-pierre,41.3712,-73.414,27.95,66.0,20.0,0.89,US,1631121022.0
maningrida,-1.2675,116.8289,24.38,88.0,100.0,3.14,ID,1631121022.0
umtata,-42.7826,147.0587,17.62,46.0,89.0,0.89,AU,1631121023.0
shakiso,25.2867,51.5333,34.99,63.0,0.0,4.12,QA,1631120822.0
bluff,77.484,-69.3632,-7.02,64.0,20.0,3.02,GL,1631121023.0
east london,72.7868,-56.1549,1.28,67.0,100.0,6.39,GL,1631121024.0
belushya guba,32.6667,-17.1,26.74,71.0,30.0,1.81,PT,1631121024.0
bethel,38.9342,100.4517,20.41,21.0,2.0,2.0,CN,1631121024.0
balikpapan,-54.8,-68.3,14.79,65.0,91.0,3.55,AR,1631120815.0
new norfolk,-33.918,25.5701,15.61,71.0,9.0,5.37,ZA,1631121025.0
doha,71.9667,102.5,11.86,75.0,90.0,3.53,RU,1631121026.0
qaanaaq,9.285,105.7244,26.22,85.0,74.0,5.42,VN,1631121026.0
palabuhanratu,65.9667,78.3667,5.3,89.0,87.0,2.82,RU,1631121027.0
upernavik,-34.5833,150.8552,11.23,75.0,3.0,0.89,AU,1631121027.0
ponta do sol,26.0835,89.9616,26.86,84.0,86.0,1.95,IN,1631121027.0
zhangye,51.226,-58.6502,19.67,54.0,62.0,3.79,CA,1631121027.0
ushuaia,40.4163,-120.653,25.61,26.0,0.0,0.45,US,1631121028.0
port elizabeth,41.1231,80.2644,26.53,19.0,0.0,2.16,CN,1631121028.0
khatanga,-23.1203,-134.9692,23.22,76.0,98.0,5.17,PF,1631120880.0
bac lieu,43.7501,-81.7165,22.73,63.0,0.0,8.01,CA,1631121029.0
urengoy,-33.5906,26.891,16.23,61.0,9.0,5.07,ZA,1631121029.0
flinders,4.9333,-52.3333,32.02,76.0,75.0,1.79,GF,1631121029.0
gauripur,10.1483,-85.452,29.75,76.0,99.0,1.16,CR,1631121090.0
saint-augustin,-13.7,-76.2167,18.9,78.0,49.0,3.44,PE,1631121090.0
susanville,-9.8,-139.0333,25.47,77.0,28.0,7.1,PF,1631121090.0
aksu,-34.0527,23.3716,13.47,79.0,43.0,2.63,ZA,1631121091.0
rikitea,59.7035,30.7861,16.94,77.0,100.0,5.11,RU,1631121091.0
goderich,42.6001,-73.9662,27.98,64.0,23.0,5.63,US,1631120802.0
port alfred,-23.865,35.3833,21.02,85.0,64.0,3.24,MZ,1631121091.0
cayenne,-34.4187,19.2345,12.11,75.0,57.0,1.9,ZA,1631121092.0
nicoya,17.0151,54.0924,27.05,94.0,75.0,2.57,OM,1631121092.0
pisco,51.5058,104.1469,7.57,76.0,72.0,2.67,RU,1631121092.0
atuona,22.2855,114.1577,29.62,76.0,41.0,0.81,HK,1631121051.0
plettenberg bay,-11.8343,31.4529,21.07,35.0,4.0,2.93,ZM,1631121093.0
nikolskoye,-20.3428,57.7575,21.23,66.0,39.0,5.5,MU,1631121093.0
albany,28.1667,94.7667,23.01,87.0,76.0,0.83,IN,1631121093.0
inhambane,38.421,-121.4238,36.47,40.0,1.0,0.45,US,1631121094.0
hermanus,-21.2,-175.2,24.09,94.0,75.0,3.09,TO,1631121094.0
salalah,42.097,-79.2353,22.96,77.0,20.0,4.63,US,1631121094.0
vaitupu,38.8876,-76.5119,30.87,71.0,20.0,0.89,US,1631121094.0
borujan,-46.1927,168.8643,7.49,97.0,100.0,3.34,NZ,1631121095.0
bargal,-0.7393,-90.3518,23.08,83.0,87.0,4.92,EC,1631121095.0
reefton,51.1333,93.6,12.1,49.0,32.0,2.22,RU,1631121095.0
baykalsk,-42.8794,147.3294,17.81,40.0,96.0,4.02,AU,1631120840.0
victoria,37.1041,-113.5841,34.26,18.0,1.0,2.06,US,1631121096.0
mpika,71.0357,27.8492,6.1,70.0,75.0,5.14,NO,1631121096.0
bambous virieux,3.0707,172.7902,28.74,73.0,39.0,7.78,KI,1631121096.0
along,-22.9661,-42.0278,23.92,69.0,40.0,9.77,BR,1631121097.0
laguna,31.3318,37.3428,30.07,19.0,0.0,5.34,SA,1631121097.0
vaini,13.2167,-59.5167,31.34,70.0,20.0,7.72,BB,1631121097.0
jamestown,65.6145,-37.6368,10.09,53.0,1.0,6.08,GL,1631121098.0
mayo,61.67,96.37,10.29,80.0,99.0,0.75,RU,1631121098.0
mataura,40.5982,-124.1573,13.32,97.0,90.0,0.0,US,1631121098.0
louisbourg,11.9986,120.2043,25.16,90.0,100.0,3.23,PH,1631121099.0
puerto ayora,-43.5333,172.6333,3.89,83.0,65.0,2.57,NZ,1631120876.0
khovu-aksy,-0.8833,131.25,24.95,91.0,98.0,4.6,ID,1631120850.0
hobart,42.1428,-77.0547,26.62,75.0,90.0,3.6,US,1631120903.0
saint george,39.05,-27.9833,21.92,87.0,39.0,5.94,PT,1631121099.0
mehamn,58.0948,6.8047,17.75,89.0,2.0,4.96,NO,1631121099.0
butaritari,-2.55,-78.9333,14.2,66.0,74.0,1.99,EC,1631121100.0
arraial do cabo,53.0452,158.6483,9.46,84.0,16.0,6.19,RU,1631121100.0
qurayyat,45.1667,10.7833,27.58,45.0,6.0,1.34,IT,1631121100.0
bathsheba,61.95,159.2333,1.53,58.0,66.0,2.6,RU,1631121101.0
tasiilaq,-22.6667,167.4833,20.27,57.0,50.0,8.98,NC,1631121101.0
baykit,62.456,-114.3525,10.58,60.0,100.0,2.02,CA,1631121090.0
fortuna,-24.7911,-50.0119,29.91,30.0,92.0,6.01,BR,1631121101.0
amderma,69.3833,178.4167,-2.05,90.0,86.0,2.3,RU,1631121102.0
coron,-14.8333,-64.9,38.7,25.0,59.0,3.83,BO,1631121102.0
christchurch,51.2585,-80.6094,12.12,99.0,100.0,1.76,CA,1631121102.0
sorong,-20.4711,-55.7872,39.31,19.0,50.0,5.31,BR,1631121103.0
corning,43.0,68.0,24.87,29.0,2.0,7.6,KZ,1631121103.0
lagoa,5.3505,48.5268,25.36,82.0,41.0,11.43,SO,1631121163.0
farsund,7.7029,27.9953,26.49,70.0,100.0,0.97,SS,1631121164.0
saleaula,-24.6867,33.5306,19.68,76.0,97.0,3.52,MZ,1631121164.0
canar,-10.6167,150.6667,25.42,82.0,100.0,9.94,PG,1631121164.0
